	place	lon	lat
157	三麗歐HELLO KITTY樂園	35.624636	139.429159
158	深大寺	35.667515	139.550461
159	鬼太郎茶屋	35.6669065	139.5495107
160	海濱商城	 	 
161	橫濱跨海大橋	35.4555567	139.6745723
162	橫濱港區２１世紀未來港	35.45792	139.6322772
163	橫濱港灣未來21	35.4579061	139.6370861
164	山下公園	35.4459317	139.6493823
165	明治神宮外苑	35.6787954	139.7175945
166	橫濱中華街	35.4423591	139.6463881
167	新橫濱拉麵博物館	35.509853	139.6145449
168	皇居正門廣場	35.680226	139.7535945
169	二重橋	35.680226	139.7535945
170	東京市區最古老的寺廟	35.7147651	139.7966553
171	仲見世通傳統商店街散策	 	 
172	寶藏門	 	 
173	五重塔	34.6142401	135.734127
174	天空之城商店街散策	 	 
175	350M空中走廊	 	 
176	宮崎駿美術館	35.696238	139.5704317
177	藤子F不二雄	35.6099799	139.573571
178	三麗歐HELLO KITTY樂園	35.624636	139.429159
179	麵包超人博物館	35.4584317	139.6257772
180	新宿	35.6911017	139.706763
181	江戶東京博物館	35.6965972	139.7957336
182	新宿御苑	35.68517629999999	139.7100517
183	汐留新大樓區	 	 
184	池袋百貨區	35.7297141	139.7102444
185	原宿表參道HILLS	35.6671757	139.7090417
186	青山	34.8763539	136.9071536
187	鬼怒川溫泉區	36.3665274	139.8458379
188	日光國立公園	36.8595801	139.7173626
189	朱紅神橋	 	 
190	日光東照宮	36.7571715	139.599984
191	東照宮	36.7571715	139.599984
192	箱根蘆之湖	35.2095674	139.0034626
193	報國寺	39.890801	116.359525
194	陽明門	36.7577336	139.59879
195	鳴龍妙音	 	 
196	三不猿猴	 	 
197	中禪寺湖	36.7329036	139.4821986
198	台場海濱公園	35.6307374	139.7760447
199	華嚴瀑布	36.7379925	139.5020685
200	忍野八海	35.4607382	138.8329494
201	湯瀑布	 	 
202	台場公園	35.6307374	139.7760447
203	龍頭瀑布	36.7588652	139.4513307
204	日光田母澤御用邸紀念公園	36.752452	139.591189
205	日比谷公園	35.6718388	139.7551457
206	御殿場	35.3085842	138.9345062
207	富士山麓溫泉區	 	 
208	石和溫泉	35.6518656	138.635545
209	野毛山動物園	35.447282	139.622712
210	甲府	35.66228	138.5682015
211	箱根國立公園	35.262433	139.0165968
212	蘆之湖遊船	35.2095674	139.0034626
213	箱根雕刻森美術館	35.2452533	139.0513245
214	富士山	35.3605555	138.7277777
215	靜岡空港	34.7971742	138.1805917
216	御前崎	34.6379866	138.1281269
217	掛川	34.7687667	137.998168
218	久能山東照宮	34.964846	138.467599
219	小江戶川越	35.907525	139.4835135
220	駿河灣渡輪	34.8672418	138.4787258
221	淨蓮瀑布	34.8718567	138.9221272
222	川端康成	35.3269132	139.5656337
223	伊豆舞孃紀念像	 	 
224	東伊豆沿海溫泉鄉	 	 
225	十國嶺	24.9595256	121.1761413
226	CABLE CAR	37.7907044	-122.4187692
227	相模灣	35.2102087	139.4059435
228	駿河灣	34.8672418	138.4787258
229	箱根關所	35.1924406	139.0262133
230	箱根園	35.2126047	139.0095357
231	箱根園水族館	35.2126047	139.0095357
232	海豹表演秀	 	 
233	箱根駒之岳纜車	35.2126047	139.0095357
234	登上駒之岳山頂	 	 
235	御殿場	35.3085842	138.9345062
236	富士山麓溫泉區	 	 
237	富士山展望聖地	 	 
238	忍野八海	35.4607382	138.8329494
239	明治神宮	35.6763976	139.6993259
240	築地市場	35.6654861	139.7706668
241	橫濱港區２１世紀未來港	35.45792	139.6322772
242	山下公園散策	35.4459317	139.6493823
243	千鳥淵	35.6896487	139.7486423
244	澀谷站	35.6580339	139.7016358
245	雷門	35.7110584	139.7963664
246	築地外圍海鮮市場	35.6654861	139.7706668
247	合羽橋廚具街	35.7144955	139.788871
248	大湧谷	35.2431054	139.019884
249	橫濱地標塔大廈	35.45495400000001	139.6313859
250	日光田母澤御用邸紀念公園	36.752452	139.591189
251	鎌倉高校前站	35.306719	139.500498
252	Marine Tower	41.4924508	-81.7767471
253	愛宕神社	35.6647566	139.7484781
254	箱根纜車	35.246463	139.035595
255	井之頭公園	35.6997435	139.5731906
256	威爾尼公園	 	 
257	東京跨海大橋	35.6365639	139.7631443
258	胡萝卜塔	 	 
259	成田山表參道	35.7826679	140.3160363
260	横滨红砖仓库	35.4522984	139.6431304
261	八芳園	35.6384021	139.7286788
262	代代木八幡宮	35.672009	139.688718
263	皇居	35.685175	139.7527995
264	皇居東御苑	35.6869403	139.7567797
265	六本木	35.6641222	139.729426
266	台場自由女神像	35.6278435	139.7718235
267	新大久保韓國城	35.7013008	139.7000494
268	草津溫泉	36.6208435	138.5964231
269	鴨川海洋世界	35.1160108	140.1204588
270	國營昭和紀念公園	35.7196096	139.3986223
